Function stats for (Thread) (12): 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
../base.py:5011 Index._maybe_promote  26316  0.068504  0.286703  0.000011
..dtypes/concat.py:101 concat_compat  4842   0.036550  0.284485  0.000059
..nals/construction.py:454 _get_axes  863    0.002092  0.280283  0.000325
..als/managers.py:1923 _merge_blocks  1393   0.028870  0.278153  0.000200
..ic.py:107 Int64Index._shallow_copy  30518  0.066058  0.273984  0.000009
..blocks.py:269 ObjectBlock.mgr_locs  150..  0.199637  0.273837  0.000002
..as/core/series.py:444 Series.dtype  99908  0.077563  0.271636  0.000003
..ore/dtypes/common.py:231 is_sparse  51875  0.129085  0.268756  0.000005
..ange.py:357 RangeIndex.get_indexer  1150   0.233486  0.262403  0.000228
..rnals/concat.py:199 JoinUnit.dtype  16081  0.030647  0.259734  0.000016
..t.py:117 EmoLex_wlist._getfreqmean  592    0.002614  0.255370  0.000431
../core/series.py:556 Series._values  94457  0.076647  0.254815  0.000003
..as/core/series.py:591 Series.array  28134  0.040884  0.245824  0.000009
..e.py:2773 Index._wrap_setop_result  8274   0.029804  0.245482  0.000030
..ternals/managers.py:817 <listcomp>  10037  0.015272  0.242054  0.000024
..wlist.py:120 EmoLex_wlist._findmax  592    0.002747  0.241526  0.000408
.._iLocIndexer._setitem_single_block  1209   0.020233  0.239139  0.000198
..exes/base.py:665 RangeIndex.astype  1360   0.011757  0.238586  0.000175
..EmoVAD_wlist._get_minmaxmost_words  408    0.004415  0.238391  0.000584
..core/indexes/numeric.py:47 __new__  10907  0.064442  0.238111  0.000022
..re/dtypes/common.py:1762 <genexpr>  208..  0.120165  0.235393  0.000001
..exes/base.py:1803 Index.is_boolean  26316  0.038492  0.232388  0.000009
..BSMVAD_wlist._get_minmaxmost_words  402    0.004342  0.230952  0.000575
..nternals/managers.py:814 copy_func  20074  0.020451  0.226782  0.000011
..re/numerictypes.py:286 issubclass_  160..  0.165425  0.225690  0.000001
..ls/construction.py:333 _homogenize  907    0.006153  0.224513  0.000248
..hon3.8/abc.py:96 __instancecheck__  172..  0.119897  0.222009  0.000001
..ncat.py:190 JoinUnit.needs_filling  16081  0.105469  0.220696  0.000014
..das/core/series.py:459 Series.name  112..  0.138701  0.219741  0.000002
../indexes/base.py:574 Index._engine  42938  0.089619  0.217603  0.000005
..ps/common.py:70 get_op_result_name  24764  0.039407  0.215271  0.000009
..ergeOperation._maybe_add_join_keys  4842   0.056513  0.215258  0.000044
..nals/construction.py:241 init_dict  71     0.001042  0.211173  0.002974
..ges/numpy/core/_methods.py:56 _all  21150  0.021646  0.210079  0.000010
..core/construction.py:554 _try_cast  10542  0.024888  0.206427  0.000020
..ore/indexes/base.py:653 Index.view  20074  0.034209  0.206331  0.000010
..c_config.py:433 errstate.__enter__  29416  0.034939  0.203513  0.000007
..mon.py:912 is_datetime64_any_dtype  171..  0.146468  0.195792  0.000001
..ks.py:239 ObjectBlock.array_values  28134  0.034797  0.194350  0.000007
..s.py:1615 SingleBlockManager.dtype  99908  0.119413  0.194074  0.000002
..python3.8/fractions.py:382 forward  24928  0.028409  0.189234  0.000008
..common.py:1187 needs_i8_conversion  77428  0.080920  0.185270  0.000002
..nc_config.py:438 errstate.__exit__  29416  0.036712  0.180189  0.000006
